created_at,id_str,full_text
2018-01-02 19:20:28+00:00,948272800833224704,New post (Bus Limbersa Rombongan Wistawan Palembang Kecelakaan di Yogyakarta) has been published on Berita ... - https://t.co/GU33N5iFcO https://t.co/pABaKd75mj
2018-01-02 19:47:17+00:00,948279548352827392,"Kecelakaan Maut Jupiter MX Adu Kambing dengan Suzuki FU, Tewaskan Empat Orang, Begini Kronologinya - Pos Belitung https://t.co/Vo7rEURlfu - #MotoCross #MXCompetition"
2018-01-02 20:12:13+00:00,948285825317416960,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/kDrSgsnSLX
2018-01-02 20:12:19+00:00,948285850600681472,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/uVGgOjrNgX
2018-01-02 20:15:47+00:00,948286723145965569,"18.korban kecelakaan bus1 mati, 2 luka parah, 3 luka ringan, 4 sehat, 5 sempurna.."
2018-01-02 20:22:16+00:00,948288351722975232,04 Metro_TV Angka Kecelakaan Selama Operasi Lilin 2017 Diklaim Menurun https://t.co/4Z5KmSBmmS https://t.co/xlK35BywjV
2018-01-02 20:41:41+00:00,948293240427446272,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/d3fjO6u86n
2018-01-02 20:49:00+00:00,948295080690905088,Lebih banyak orang tewas setiap tahun oleh keledai daripada mati dalam kecelakaan udara.
2018-01-02 21:01:54+00:00,948298327279394816,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/DA2QlTXqo3
2018-01-02 21:02:03+00:00,948298364898062336,"Kecelakaan,pembunuhan,perampokan ada di sekitarkita.. Haruskah Kita TAKUT?hub 082312105777 Pin BB 5C5C8D3C https://t.co/YhrCdDS9Fw"
2018-01-02 21:06:09+00:00,948299396021551104,"Korban kecelakaan bus, 1 mati, 2 luka parah, 3 luka ringan, 4 sehat, 5 sempurna..."
2018-01-02 21:09:47+00:00,948300311344508928,Tekan Angka Kecelakaan Patroli 902 Polsek Tenggilis Mejoyo Laksanakan Pengaturan https://t.co/Brk0qsN8Fj
2018-01-02 21:24:09+00:00,948303926385889285,Saya nolongin orang yg kecelakaan ga mengharapkan imbalan apapun.. Saya ikhlas melakukanya... Ikhlas ridho karna... https://t.co/izeUIDFjdG
2018-01-02 21:24:18+00:00,948303963442630656,"Tangani Korban Kecelakaan, Kapolsub Sektor Palem Semi Humanis: https://t.co/FA3wk7io3w melalui @YouTube"
2018-01-02 21:24:36+00:00,948304040005287939,"Terhindar dri semua bahaya,kecelakaan n kejahatan-Ikuti Pembangkitan Energi Haq dri dlm diri sendiri-Praktis n mudah hanya 2 jam saja.."
2018-01-02 21:33:12+00:00,948306205839167488,10 detikcom Kecelakaan Pesawat di Costa Rica Tewaskan 10 Warga AS https://t.co/ibKkNU9hWQ via detik_tv
2018-01-02 21:49:31+00:00,948310308958781440,Sukses bukan kebetulan. Gagal bukan kecelakaan. Semua ada polanya.
2018-01-02 21:51:53+00:00,948310906869497861,"Ini bukan kecelakaan "" Conan Edogawa"
2018-01-02 22:00:55+00:00,948313178919772160,"29. Selamat dari bahaya kecelakaan,ancaman pembunuhan, serta bentuk2 kejahatan yang tiba2 menghadang?https://t.co/em19bJEAXF"
2018-01-02 22:06:25+00:00,948314564394971136,Mobil Polish vs Ertiga || Kecelakaan: https://t.co/FFqdiJ8IRe via @YouTube
2018-01-02 22:20:04+00:00,948317997789319168,"Dan kecelakaan besarlah bagi orang-orang yang mempersekutukan-Nya,   (yaitu) orang-orang yang tidak menunaikan zakat dan mereka kafir akan adanya (kehidupan) akhirat. ―QS. Fussilat [41] 6-7  #quran"
2018-01-02 22:23:14+00:00,948318794413322240,"@jokowi Semoga angkutan umum lainnya seperti bus bisa seperti kereta api,alangkah indahnya semua naik angkutan umum yg mengurangi kecelakaan dan begal dan membudayakan jalan kaki sehat dalam ber aktifitas,dalam indonesia sehat"
2018-01-02 22:30:24+00:00,948320599130058752,Setiap Tahun Ada Sekitar 25ribu Kematian Akibat Kecelakaan Yang Berhubungan Dengan Gangguan Tidur Di Amerika Serikat
2018-01-02 22:31:38+00:00,948320909202309120,Korban Kecelakaan Odong-odong Akhirnya Tewas https://t.co/6uIG2zEgad
2018-01-02 22:34:45+00:00,948321695378546688,"Untuk mengurangi angka kecelakaan balap moto GP, pihak panitia membuat polisi tidur di setiap lintasan."
2018-01-02 22:39:57+00:00,948323004278124544,"Setelah 3 hari diam, akhirnya bbm-an lg, dgn alasan super bokis. Bus masuk jurang, kecelakaan dan lain2. Doi lupa, berita apapun bakal tersebar di medsos, ada rekam digital... dan ga ada bus masuk jurang malam tgl 30 Des kemaren"
2018-01-02 22:43:02+00:00,948323778852892672,"TAHUN 2017, ANGKA KECELAKAAN DI MAROS MENINGKAT INI JUMLAHNYA https://t.co/vsqHTp3mpC https://t.co/XmPt2Anz6U"
2018-01-02 23:05:19+00:00,948329386712772608,Bagi orangtua agar berikan pengertian pada Putra Putri Anda yg msh blm cukup umur ttg Bahaya Kecelakaan bila berkendara blm pada waktunya.
2018-01-02 23:05:43+00:00,948329488231776256,"Melihat Kecelakaan, Kendaraan Mogok. Hub Info Tol &amp  Bantuan tol_mms.WA 081311581445 https://t.co/IdvCnRFCJk"
2018-01-02 23:10:51+00:00,948330779435704320,"Warna mobil yang paling aman adalah putih, sedangkn mobil berwarna hitam memiliki risiko 12% lebih tinggi utk terjadinya kecelakaan. [MUARC]"
2018-01-02 23:15:02+00:00,948331833569239040,Kecelakaan truk di saradan: https://t.co/7f77YN2SgQ melalui @YouTube
2018-01-02 23:20:19+00:00,948333162127593472,"https://t.co/18q5w1w4Qa :  Kecelakaan Maut di Italia, Enam Orang Tewas Terpanggang: Kecelakaan maut… https://t.co/lyOlhtaOc5"
2018-01-02 23:22:19+00:00,948333665104183296,"Mengurangi Angka Kecelakaan Balap Moto GP, Pihak Panitia Membuat Polisi Tidur di Setiap Lintasan"
2018-01-02 23:23:37+00:00,948333993690214400,Angka kecelakaan di Singkawang turun https://t.co/YqemSjSpoH https://t.co/oTi6Lk8w6t
2018-01-02 23:23:38+00:00,948333994721947653,Angka kecelakaan di Singkawang turun https://t.co/iw1BFuPpRb https://t.co/TPV0oOfOVV
2018-01-02 23:32:09+00:00,948336138325864448,"Angka kecelakaan di Singkawang turun: Kapolres Singkawang, Kalimantan Barat, AKBP Yuri Nurhidayat mengatakan, angka kecelakaan di kota setempat mengalami penurunan cukup drastis. Pada tahun 2016 terjadi sebanyak 71 kasus, sedangkan pada tahun 2017… https://t.co/YqemSjSpoH https://t.co/zbxRVF9Y5F"
2018-01-02 23:36:40+00:00,948337275884126209,"06.33 WIB #Tol_Japek Cikarang Timur KM 39 - KM 41 arah Cikampek PADAT, kepadatan volume lalu lintas. Karawang Barat KM 45 - KM 48+200 arah Cikampek PADAT, dampak ada Evakuasi Muatan Kecelakaan di bahu jalan."
2018-01-02 23:45:54+00:00,948339600874852352,"Rasa takut akan kematian adalah yang paling dibenarkan dari semua ketakutan, karena tidak ada risiko kecelakaan bagi seseorang yang sudah mati."
2018-01-02 23:56:18+00:00,948342215331414016,Assalamu'alaikum wbt PERKONGSIAN 1 HARI 1 HADIS  Zikir Dibaca Pagi dan Petang Menjauhkan Kecelakaan  عَنْ أَبَانَ... https://t.co/X3fllzU4e0
2018-01-03 22:39:37+00:00,948685307125354496,"klik https://t.co/HPnyvdtVOP Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet"
2018-01-03 22:42:05+00:00,948685927685160961,"Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet https://t.co/1zBy0VsAiA"
2018-01-03 22:42:21+00:00,948685994898882562,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta https://t.co/eJuyDp5L64
2018-01-03 22:42:30+00:00,948686033964675072,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta: Sebuah Truk bermuatan semen… https://t.co/YcpPKIdZaf
2018-01-03 22:42:32+00:00,948686042047111174,"Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet: Sebuah Mobil travel… https://t.co/ivDT15uv5Q"
2018-01-03 22:42:57+00:00,948686145210208256,https://t.co/18q5w1w4Qa :  Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta: Sebuah Truk… https://t.co/nF25JH3uRn
2018-01-03 22:42:57+00:00,948686144388108288,"https://t.co/18q5w1w4Qa :  Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet: Sebuah… https://t.co/8B3YWxT2XR"
2018-01-03 22:46:03+00:00,948686924708892672,"Melihat Kecelakaan, Kendaraan Mogok. Hub Info Tol &amp  Bantuan tol_mms.WA 081311581445 https://t.co/WhShPfgQuO"
2018-01-03 22:49:03+00:00,948687679008460800,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta
2018-01-03 22:50:12+00:00,948687968469884928,1 Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta  https://t.co/GdDxi8gy4o
2018-01-03 22:50:15+00:00,948687984118788096,@null Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta  https://t.co/mHgcvKXUW7
2018-01-03 22:52:12+00:00,948688475368255491,"05.50 Kecelakaan sebuah Elf terguling di jl Gunung Sahari ( dpn Bank DKI ) arah Mangga dua , proses penanganan petugas #Polri https://t.co/pKjvmm82ja"
2018-01-03 22:57:33+00:00,948689818061627392,"Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet https://t.co/aHNoFuiLdt"
2018-01-03 22:57:33+00:00,948689820645253122,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta https://t.co/PPWu918aug
2018-01-03 22:58:08+00:00,948689965763850240,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta https://t.co/4e3XZa2ECY https://t.co/WvdVjxQhfd
2018-01-03 22:58:22+00:00,948690024073015296,"Telat check in, gegera ada kecelakaan di tol 😔"
2018-01-03 23:03:11+00:00,948691237749469184,Radio ANDIKA 05.53 Telah terjadi kecelakaan antara dua sepeda motor di Desa Sumberjo Kecamatan Kandat Kabupaten... https://t.co/z4JY2GGT4W
2018-01-03 23:06:31+00:00,948692078107725824,"Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet https://t.co/UUW3akgLD6"
2018-01-03 23:06:32+00:00,948692080917991429,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta https://t.co/UqggiAptAW
2018-01-03 23:09:31+00:00,948692829227773952,"LIVE! Kepala Kantor SAR Palembang, Toto Mulyono : 42 org selamat, 2 meninggal dan sejumlah penumpang lainnya masih dicari,  dalam kecelakaan speedboat KM Awat Muda yg terjadi di perairan Tanjung Serai, Banyuasin, Sumsel, pada Rabu sore, sekitar pukul 18.00 WIB. https://t.co/JVSzncalbR"
2018-01-03 23:13:25+00:00,948693813551230976,"Karena rl abis kecelakaan gua meski istirahat juga sih, Hiatus aja kali ya. Udah mau sklh juga. Mianhae. )) https://t.co/rl6qgS05FG"
2018-01-03 23:14:34+00:00,948694102417313793,"Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet https://t.co/2tS9uCNxuz"
2018-01-03 23:14:35+00:00,948694107777654784,Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta https://t.co/iMR77AomHM
2018-01-03 23:26:09+00:00,948697016829276160,"Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet https://t.co/AQSKFzNQP5 https://t.co/y50wENPLx6"
2018-01-03 23:29:40+00:00,948697903698079744,Di tol cikampek ada kecelakaan ya? Ini stuck ga jalan di jorr 😪😪😪 cc @TMCPoldaMetro
2018-01-03 23:37:19+00:00,948699826941775872,"@info -  Kecelakaan Mobil di KM 93 Cipali Arah Jakarta, Lalu Lintas Macet"
2018-01-03 23:37:20+00:00,948699830678900743,@info -  Truk Semen Kecelakaan Jelang Exit Tol Tegal Parang Jakarta
2018-01-03 23:41:41+00:00,948700927682215937,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/d3fjO6u86n
2018-01-03 23:43:23+00:00,948701355589369856,Kecelakaan speedboat Karangagung semalam. Belasan orang belum ditemukan.   Semoga selamat semua!  Utamakan... https://t.co/4o22S3D899
2018-01-03 23:43:26+00:00,948701366372900864,"Melihat Kecelakaan, Kendaraan Mogok. Hub Info Tol &amp  Bantuan tol_mms.WA 081311581445 https://t.co/dIBLYf89j0"
2018-01-03 23:47:58+00:00,948702508171509760,Kecelakaan km 85 arah merak xenia merah maron nabrak jalur pembatas@tol_mms
2018-01-03 23:51:57+00:00,948703509716729856,"Ini bukan kecelakaan "" Conan Edogawa"
2018-01-04 17:31:15+00:00,948970090241843200,"Hujan, malam jumat, sendiri, pas2 lagi sudah kejadian org meninggal kecelakaan depan rumah.  Tp dikira mgkn klo main twitter ini bisa lari itu takut 😂😂😂"
2018-01-04 18:31:58+00:00,948985370036719617,Video LUCU Kecelakaan Yg Sangat Koplak  https://t.co/qMeUFn1IUN
2018-01-04 18:34:34+00:00,948986024599814146,"01.34: @PTJASAMARGA : Kecelakaan #TolCkmpk di Karawang Timur KM 52 arah Jakarta, Kendaraan Truk Box di lajur kiri, dalam Penanganan Petugas Jasamarga. #ListenToElshinta https://t.co/UWzqdcl5sd"
2018-01-04 18:54:20+00:00,948991000462090240,"Kecelakaan dan keadaan darurat medis tidak pernah liburan, dibutuhkan darah setiap menit, setiap hari dan sepanjang tahun. #bfojogja"
2018-01-04 19:11:56+00:00,948995428346822656,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/h8zYo3pOvP
2018-01-04 19:34:11+00:00,949001029676249088,"Kecelakaan di Jalan Lintas Riau - Sumbar, 1 Tewas di Tempat, 2 Luka-luka https://t.co/GOeKpDarHG (https://t.co/f01GglUBSw)"
2018-01-04 19:41:40+00:00,949002913614938112,Video LUCU Kecelakaan Yg Sangat Koplak  https://t.co/DmutbNzWtN
2018-01-04 20:24:45+00:00,949013753131024384,"Kecelakaan Tahun 2017 di Sumbar, 538 Orang Tewas di Jalan https://t.co/3djeyIRHr2 via @terasminang"
2018-01-04 20:34:34+00:00,949016224033198080,"Kecelakaan di Jalan Lintas Riau - Sumbar, 1 Tewas di Tempat, 2 Luka-luka https://t.co/8MH8ppKHbY .."
2018-01-04 20:34:36+00:00,949016231960440832,"Kecelakaan di Jalan Lintas Riau - Sumbar, 1 Tewas di Tempat, 2 Luka-luka https://t.co/7psTzPc0aj (https://t.co/lGquC4QU41)"
2018-01-04 20:36:39+00:00,949016747067154432,"Kecelakaan di Jalan Lintas Riau - Sumbar, 1 Tewas di Tempat, 2 Luka-luka https://t.co/xruOhOKIaf (https://t.co/7O3UTvEnzt)"
2018-01-04 20:51:34+00:00,949020504358137856,Daftar Penumpang Speedboat Nahas di Kecelakaan Banyuasin https://t.co/pW2pYXrsGb https://t.co/c3JCwHFm4B
2018-01-04 20:54:19+00:00,949021193738293248,Kecelakaan di Cibanteng Proyek Korban Terlindas Truk Tangki Air -  Bogor Barat Online https://t.co/SFBjVH4Y0k
2018-01-04 21:10:11+00:00,949025189437689856,03:56 Kecelakaan Pick Up F 8018 GT &amp  Pemotor B 6568 EGS di TL Kodam Jl. Mayjen Sutoyo Jaktim &amp  sdh dlm penanganan Polri. https://t.co/D2UyKkMrKJ
2018-01-04 21:23:10+00:00,949028453403078656,04.23: RT @TMCPoldaMetro : Kecelakaan Pick Up F 8018 GT &amp  Pemotor B 6568 EGS di TL Kodam Jl. Mayjen Sutoyo Jaktim &amp  sdh dlm penanganan Polri. #ListenToElshinta https://t.co/xdfV0AeSBN
2018-01-04 21:42:56+00:00,949033428271312896,"Kecelakaan Toyota Innova B 8482 WI &amp  Pejalan Kaki di dpn Grand Lucky Jl. Radio Dalam Jaksel, korban luka2 Irsan Pratama RA (27 tahun) &amp  sdh dlm penanganan Polri. https://t.co/5G3Jk1WWso"
